Key,Chinese
Npc0/RandomConvo_003_Intro_001,<glee>我擁有，一個龐大的家族！
Npc0/RandomConvo_003_Intro_002,<haha>它的增長所有的時間！
Npc0/RandomConvo_004_Intro_000,我長大了我的家人旅行。
Npc0/RandomConvo_004_Intro_001,<shy>我們很幸運有一個<AirShip>。þ
Npc0/RandomConvo_004_Intro_002,<shy>我一樣，想你可以說天空才是我的家和東西。þ
Npc0/RandomConvo_005_Intro_000,<thinking>你有沒有想過云是由什麼組成的？þ
Npc0/RandomConvo_005_Intro_001,<no>它們看起來柔軟蓬鬆，但就像，當你在上面時，它們就像，而不是...þ
Npc0/RandomConvo_006_Intro_000,<yes>即使我一樣，度過了我一生中最在天空中，我覺得我已經到了地球不知何故這個特殊的聯繫？þ
Npc0/RandomConvo_006_Intro_001,你懂我的意思嗎？þ
Npc0/RandomConvo_007_Intro_000,在所有蔬菜中，我認為我最喜歡<favouriteFood>。
Npc0/RandomConvo_007_Intro_001,<glee>我可以整天吃它們。
Npc0/RandomConvo_008_Intro_000,<thinking>如果我安靜不夠，有時感覺就像我聽到樹木竊竊私語。這是一樣，很難形容的聲音......
Npc0/RandomConvo_008_Intro_001,<thinking>這有點像空氣一陣猛烈的聲音，透過樹葉吹...
Npc0/RandomConvo_009_Intro_000,<yes>如果你小心對待你的莊稼，餵養他們，愛護他們，那麼他們一定會喜歡你。þþ
Npc0/RandomConvo_009_Intro_001,<glee>你會得到比播種更多的回報！þ
Npc0/RandomConvo_010_Intro_000,<no>很多來自<SouthCity>的人不知道如何面對像我這樣的<Nomads>。þ
Npc0/RandomConvo_010_Intro_001,<haha>如果你不知道如何填寫他們的檔案，他們就會擔心。þ
Npc0/RandomConvo_010_Intro_002,<proud>更不用說你開始談論<SouthCity>之外的廣闊世界了！þ
Npc0/RandomConvo_011_Intro_000,<yes>我的家人和我已經基本無處不在。þ
Npc0/RandomConvo_011_Intro_001,<thinking>我想作為一個<Nomads>，我覺得這是理所當然的…þ
Npc0/RandomConvo_011_Intro_002,但是，並不是每個人都有是一樣幸運，因為我一直。þ
Npc0/RandomConvo_011_Intro_003,<shy>我見過太多了！þ
Npc0/RandomConvo_011_Intro_004,<sigh>我只是希望每次我們著陸時我都能多待一會兒。þ
Npc0/RandomConvo_012_Intro_000,<yes>樹木可以是，就像，這樣瘋狂的角色。þ
Npc0/RandomConvo_012_Intro_001,<no>他們總是在遮遮掩掩，我就是忍不住愛他們。 þ
Npc0/RandomConvo_012_Intro_002,<glee>我猜是你的朋友發來的，沒關係對吧<PlayerName>？þ
Npc0/RandomConvo_013_Intro_000,<thinking>我年輕的時候，喜歡嘗試各種瘋狂的植物。 þþ
Npc0/RandomConvo_013_Intro_001,<yes>有時候，你必須知道你做了什麼不喜歡你發現你做什麼了。þ
Npc0/RandomConvo_013_Intro_002,<haha>我發現我喜歡的一切一樣的！þ
Npc0/RandomConvo_014_Intro_000,我之前只去過<SouthCity>幾次。þ
Npc0/RandomConvo_014_Intro_001,<no>這就像，毛冷的東西。þ
Npc0/RandomConvo_014_Intro_002,<no>我沒有看到任何地方單獨地生長一株植物。þ
Npc0/RandomConvo_014_Intro_003,<sigh>完全不優秀。þ
Npc0/RandomConvo_015_Intro_000,þ究竟是什麼<PermitPoints>呢？þþþþ
Npc0/RandomConvo_015_Intro_001,我沒有在<SouthCity>生活長大，所以我不太清楚這些是做什麼的？þ
Npc0/RandomConvo_015_Intro_002,其實我真的沒有得到全部<Licence>的事情。þ
Npc0/RandomConvo_015_Intro_003,為什麼不是每個人都一樣，他們想的是什麼？þ
Npc0/RandomConvo_016_Intro_000,þ我看你抱著一個<Journal>周圍公平一點。þþþþ
Npc0/RandomConvo_016_Intro_001,<thinking>你總是打開它和東西。þ
Npc0/RandomConvo_016_Intro_002,它是什麼在了那裡呢？þ
Npc0/RandomConvo_016_Intro_003,<haha>在哪裡可以我一樣，得到其中的一個？þ
Npc0/RandomConvo_017_Intro_000,前幾天我種地的時候，我在地上發現了一堆發亮的垃圾。þ
Npc0/RandomConvo_017_Intro_001,<no>那就像寒冷和毫無生氣。 þ
Npc0/RandomConvo_017_Intro_002,誰會浪費時間製造這樣的垃圾？
Npc0/RandomConvo_018_Intro_000,<proud>我覺得我的植物有時會有點像我。
Npc0/RandomConvo_018_Intro_001,<glee>但他們只喜歡陽光，總是向天空伸手！
Npc0/RandomConvo_019_Intro_000,<no>即使這麼多年過去了，我仍然不知道從這麼小的東西可以增長多大。
Npc0/RandomConvo_019_Intro_001,一顆小小的種子就可以長出那種巨大的？
Npc0/RandomConvo_020_Intro_000,<yes>我認為你要在這裡做的事真的很優秀，<PlayerName>的事情。þ
Npc0/RandomConvo_020_Intro_001,<shy>你還挺喜歡激勵我做更多的事情和東西。þ
Npc0/RandomConvo_021_Intro_000,<yes>耕地和種植可能是一項艱巨的工作，但是這是值得的。þ
Npc0/RandomConvo_021_Intro_001,你覺得，你做到了是嗎？
Npc0/RandomConvo_021_Intro_002,<glee>你做到了。þ
Npc0/RandomConvo_021_Intro_003,<pumped>Bonza。
Npc0/RandomConvo_022_Intro_000,<thinking>有時下雨為我節省了很多澆水的時間。þþþ
Npc0/RandomConvo_022_Intro_001,<no>不過還是很遺憾。þ
Npc0/RandomConvo_022_Intro_002,<haha>喜歡，幹得好，但已經走了，對吧？þ
Npc0/RandomConvo_023_Intro_000,失去一些莊稼可能很傷心。 þþ
Npc0/RandomConvo_023_Intro_001,<no>我不喜歡談論它，但它就像發生在我身上一兩次。þ
Npc0/RandomConvo_023_Intro_002,<glee>就像你一直在照顧我一樣照顧他們，一切都會好起來的。
Npc0/RandomConvo_024_Intro_000,當你從這裡開始的時候，你有沒有想過我們會走到這一步？þþþ
Npc0/RandomConvo_024_Intro_001,<thinking><IslandName>周圍的所有這些變化和發展。
Npc0/RandomConvo_024_Intro_002,<glee>就是，大家幹得真棒！þ
Npc0/RandomConvo_025_Intro_000,您在<AirShip>中從高處看到了很多東西，但就像，您無法真正與任何東西聯繫起來？þ
Npc0/RandomConvo_025_Intro_001,<yes>我覺得這裡超級連線。
Npc0/RandomConvo_025_Intro_002,這跟你有很大關係，<PlayerName>，所以謝謝！þ
Npc0/RandomConvo_026_Intro_000,這裡的土壤非常適合種植。þ
Npc0/RandomConvo_026_Intro_001,<thinking>營養豐富，就好像它只想幫助我們的小傢伙成長一樣。
Npc0/RandomConvo_026_Intro_002,這一定是我們對它們的全部愛和關懷，你覺得呢？
Npc0/RandomConvo_026_Option_000,確實！
Npc0/RandomConvo_026_Option_001,這只是土壤
Npc0/RandomConvo_026_Response_000_000,<glee>好吧，讓我們繼續加油！
Npc0/RandomConvo_026_Response_001_000,<haha>我想這只是我的幫助，那麼！
Npc0/RandomConvo_027_Intro_000,我一直都知道我很特別？þ
Npc0/RandomConvo_027_Intro_001,比如，是爲了什麼？þ
Npc0/RandomConvo_027_Intro_002,我當然希望它與植物有關……þ
Npc0/RandomConvo_027_Intro_003,<haha>þ因為我喜歡，全押在這個植物上！
Npc0/RandomConvo_028_Intro_000,<no>你不能一個人做所有事情......þ
Npc0/RandomConvo_028_Intro_001,即使你可以，我認為你也不應該這樣做？þ
Npc0/RandomConvo_028_Intro_002,你不會很快去任何地方，對吧<PlayerName>？þ
Npc0/RandomConvo_028_Option_000,沒門！
Npc0/RandomConvo_028_Option_001,也許...
Npc0/RandomConvo_028_Response_000_000,<glee> Bonza，因為還有很多工作要做！
Npc0/RandomConvo_028_Response_001_000,<haha>好吧，你最好不要忘記我！
Npc0/RandomConvo_029_Intro_000,需要內容在這裡
Npc0/RandomConvo_030_Intro_000,<thinking>植物需要強壯健康的根基，以充分發揮其潛力。
Npc0/RandomConvo_030_Intro_001,<yes>我認為人們可以像太，對不對？
Npc0/RandomConvo_030_Intro_002,<glee>即使它需要一些時間和精力，良好的支援網路一樣，所以重要的是要建立。þ
Npc0/RandomConvo_031_Intro_000,有一個關於<IslandName>只是東西，讓我的心臟賓至如歸的感覺。þ
Npc0/RandomConvo_031_Intro_001,<thinking>我不是很針下來...
Npc0/RandomConvo_031_Intro_002,我想，也許我一樣，不想？þ
Npc0/RandomConvo_031_Intro_003,<yes>當某個地方是一個不錯的選擇，你只要知道，明白我的意思嗎？þ
Npc0/RandomConvo_032_Intro_000,<shy>它一樣，總是很高興見到你，<PlayerName>。þ
Npc0/RandomConvo_032_Intro_001,<glee>您鎮幫助大家出來亂跑的樣子，就好像，完全邦扎。þ
Npc0/RandomConvo_033_Intro_000,<no>我一樣，從來沒有想過我會打電話之前，一個地方的家。
Npc0/RandomConvo_033_Intro_001,<shy>至少不會在到現在為止！
Npc0/RandomConvo_033_Intro_002,<no>我想我不是一個<Nomad>了。þ
Npc0/RandomConvo_033_Intro_003,我想我一樣，一個<IslandName>常駐！þ
Npc0/RandomConvo_034_Intro_000,<shy>你知道，<PlayerName>，我認為你一樣，我最親密的朋友之一。
Npc0/RandomConvo_034_Intro_001,<shy>我覺得我應該與我關心的人更多的前期。þ
Npc0/RandomConvo_034_Intro_002,<haha>就是這樣的。是喜歡，前期還不夠嗎？þ
Npc0/RandomConvo_035_Intro_000,<yes>我覺得我們的友誼已經，就像，真的成長了，<PlayerName
Npc0/RandomConvo_035_Intro_001,<haha>甚至沒有人需要給它澆水！
Npc0/RandomConvo_036_Intro_000,需要內容在這裡
Npc0/RandomConvo_037_Intro_000,需要內容在這裡
Npc0/RandomConvo_038_Intro_000,需要內容在這裡
Npc0/RandomConvo_039_Intro_000,需要內容在這裡
Npc0/TownMention_Level_001_Intro_000,<PlayerName>，讓<IslandName>啟動並運作起來，你真的做得很好。þ
Npc0/TownMention_Level_001_Intro_001,這個地方將會越來越好的。 þ
Npc0/TownMention_Level_002_Intro_000,我有沒有提到過優秀的<IslandName>的樣子等等。þ
Npc0/TownMention_Level_002_Intro_001,就好像，每天看起來越來越好。þ
Npc0/TownMention_Level_002_Intro_002,<glee>這一切都要感謝你，<PlayerName>。þ
Npc0/TownMention_Level_003_Intro_000,我喜歡你在這裡所做的一切，<PlayerName>。þ
Npc0/TownMention_Level_003_Intro_001,<yes>顯然，你在鎮上做了很多工作。 þ
Npc0/TownMention_Level_003_Intro_002,<glee>有你在<IslandName>附近真是太棒了þ
Npc0/TownMention_Level_004_Intro_000,<no>þ我不敢相信這是我以前在我的小帳篷里參觀的那個<IslandName>！þþ
Npc0/TownMention_Level_004_Intro_001,<pumped>這個地方真是太棒了。þ
Npc0/TownMention_Level_004_Intro_002,<yes>你應該為自己感到驕傲，<PlayerName>。þ
Npc0/TownMention_Level_004_Intro_003,<glee>繼續努力！þþþ
Npc1/Gossip_About_NPC_000_Intro_000,當然，你可以從<NPCName>那裡購買種子，但它們必須長大。þ
Npc1/Gossip_About_NPC_000_Intro_001,誰有時間？þ
Npc1/Gossip_About_NPC_000_Intro_002,<haha>你可以從我這裡買你的食物！þ
Npc1/Gossip_About_NPC_000_Intro_003,你總是可以得到更多的<Dinks>，但你永遠不會得到更多的時間！þ
Npc1/Gossip_About_NPC_002_Intro_000,<NPCName>的發明使用起來很有趣。þ
Npc1/Gossip_About_NPC_002_Intro_001,<no>雖然對我的口味來說有點貴…þ
Npc1/Gossip_About_NPC_002_Intro_002,<no>個人？沒有什麼比用自己的兩隻手完成工作更好的了。þ
Npc1/Gossip_About_NPC_002_Intro_003,你額頭上的汗水，一點肘部油脂…þ
Npc1/Gossip_About_NPC_002_Intro_004,<haha>你只需要一個價格合理的鎬子！þ
Npc1/Gossip_About_NPC_003_Intro_000,你絕對應該和<NPCName>談談。þ
Npc1/Gossip_About_NPC_003_Intro_001,<yes>他是一個有趣的角色。þ
Npc1/Gossip_About_NPC_003_Intro_002,<no>但是在你我之間？你只是不需要傢俱！
Npc1/Gossip_About_NPC_003_Intro_003,<haha>你的地方看起來已經很棒了！存好你的<Dinks>，我想。 þ
Npc1/Gossip_About_NPC_003_Intro_004,在非常重要的事情上使用它們。
Npc1/Gossip_About_NPC_003_Intro_005,也許是一個<itemName>！þ
Npc1/Gossip_About_NPC_004_Intro_000,我不知道<NPCName>是怎麼讓她的衣服穿這麼久的。þ
Npc1/Gossip_About_NPC_004_Intro_001,<haha>他們永遠不會崩潰！þ
Npc1/Gossip_About_NPC_004_Intro_002,<thinking>那肯定會傷害她的底線...þ
Npc1/Gossip_About_NPC_006_Intro_000,<no>你無法通過<NPCName>獲得任何東西，這是肯定的。þ
Npc1/Gossip_About_NPC_006_Intro_001,<shy>哦，別擔心，我所有的許可證都是最新的…現在。þ
Npc1/Gossip_About_NPC_007_Intro_000,聽著，<NPCName> 是個好人…þ
Npc1/Gossip_About_NPC_007_Intro_001,<thinking>但要小心不要在動物身上花太多錢þ。
Npc1/Gossip_About_NPC_007_Intro_002,<no>他們不會讓你擺脫困境þ。
Npc1/Gossip_About_NPC_007_Intro_003,<haha>而且他們肯定不會像我的貨物那樣幫你冶煉礦石！þ
Npc1/Gossip_About_NPC_009_Intro_000,如果你願意，你可以將你的昆蟲和魚類捐贈給<NPCName>。
Npc1/Gossip_About_NPC_009_Intro_001,<pumped>但請記住，我會給你一個更好的價格。 þ
Npc1/Gossip_About_NPC_009_Intro_002,<haha>全鎮最優惠的價格！þ
Npc1/Gossip_About_NPC_010_Intro_000,<NPCName>肯定知道他的價格，我會告訴他的。þ
Npc1/Gossip_About_NPC_010_Intro_001,<yes>不要和那個傢伙混在一起。þ
Npc1/High_Friendship_Greeting 0_Intro_000,怎麼樣，<PlayerName>！þ
Npc1/High_Friendship_Greeting 0_Intro_001,很高興見到你！þ
Npc1/High_Friendship_Greeting 0_Response_003_000,稍後再找你，<PlayerName>。
Npc1/High_Friendship_Greeting 1_Intro_000,很高興見到你，<PlayerName>！þ
Npc1/High_Friendship_Greeting 1_Intro_001,需要什麼嗎？þ
Npc1/High_Friendship_Greeting 1_Response_003_000,<yes>好吧，希望以後再見！
Npc1/High_Friendship_Greeting 2_Intro_000,好吧，如果它不是 <PlayerName>！þ
Npc1/High_Friendship_Greeting 2_Intro_001,我知道我今天會見到你！þ
Npc1/High_Friendship_Greeting 2_Response_003_000,再見，<PlayerName>。
Npc1/Hot_Greeting 0_Intro_000,今天的高溫讓我充滿活力！þ
Npc1/Hot_Greeting 0_Intro_001,<haha>而且我喜歡充電！
Npc1/Hot_Greeting 0_Response_003_000,
Npc1/Introduction_001_Intro_000,啊哈！ 所以你一定是<PlayerName>！
Npc1/Introduction_001_Intro_001,<NPCName>告訴我要感謝你為我安排了這個地方。þ
Npc1/Introduction_001_Intro_002,謝謝！þ
Npc1/Introduction_001_Intro_003,<yes>我有一種感覺，我們會一起做很多生意。
Npc1/Introduction_001_Intro_004,看看我的商品，並隨時向我詢問您感興趣的任何商品。þ
Npc1/Introduction_001_Intro_005,<yes>現在，我把我的大部分<Dinks>都賣給了<SouthCity>。þ
Npc1/Introduction_001_Intro_006,<haha>我想你應該說「異國情調」來形容在<IslandName>上找到的任何物品。þ
Npc1/Introduction_001_Intro_007,<pumped>所以，如果你發現了什麼，我的意思是，如果你不想要，請拿過來給我看看。
Npc1/Introduction_001_Intro_008,<haha>我會給你一個不錯的價格！þ
Npc1/Johns Shop_Convo_Intro_000,歡迎來到John的雜貨店！ 我能提供什麼幫助？
Npc1/Johns Shop_Convo_Option_000,出售貨物。
Npc1/Johns Shop_Convo_Option_001,我想聊聊天。
Npc1/Johns Shop_Convo_Option_002,我很好。
Npc1/Johns Shop_Convo_Response_000_000,好吧，告訴我們你得到了什麼。
Npc1/Johns Shop_Convo_Response_002_000,別擔心朋友。
Npc1/Johns Shop_Convo_Response_002_001,感謝您的光臨。
Npc1/LongConvo_001_Intro_000,嘿<PlayerName>，你知道我為什麼成為一名旅行商人嗎？þ
Npc1/LongConvo_001_Intro_001,我的意思是，我非常喜歡交易，我真的很喜歡，但我一直想在<SouthCity>我自己的商店裡交易。þ
Npc1/LongConvo_001_Intro_002,但是我的兄弟有時會犯..小錯誤。þ
Npc1/LongConvo_001_Intro_003,<no>事實上，他總是犯大錯。þ
Npc1/LongConvo_001_Intro_004,<haha>但即使我們沒有血緣關係，我也愛他！þ
Npc1/LongConvo_001_Intro_005,你看，我哥哥和我都被收養了。þ
Npc1/LongConvo_001_Intro_006,在成長過程中，我們總是互相交易。þ
Npc1/LongConvo_001_Intro_007,但是當我的兄弟在<SouthCity>遇到一點麻煩時，我們需要儘快賺取<Dinks>！þ
Npc1/LongConvo_001_Intro_008,我們想出了一個萬無一失的計劃。þ
Npc1/LongConvo_001_Intro_009,我們中的一個人會成為<Nomad>。到<SouthCity>以外的島嶼旅行，來回交易物品。þ
Npc1/LongConvo_001_Intro_010,好計劃，對吧？þ
Npc1/LongConvo_001_Intro_011,<haha>我也是這麼想的！þ
Npc1/LongConvo_001_Intro_012,但我的兄弟可能會偷偷摸摸地來，<PlayerName>。þ
Npc1/LongConvo_001_Intro_013,我不知道這是怎麼回事，但突然間我就是離開<SouthCity>的那個人！þ
Npc1/LongConvo_001_Intro_014,與此同時，<NPCName>是回到<SouthCity>的那個擁有自己商店的人。þ
Npc1/LongConvo_001_Intro_015,<no>而且他在賣我寄給他的東西，一點也不落下！þ
Npc1/LongConvo_001_Intro_016,<shy>我不知道怎麼做，但他總是設法讓我相信他的計劃是最好的...þ
Npc1/Low_Friendship_Greeting 0_Intro_000,美好的一天，<PlayerName>.þ
Npc1/Low_Friendship_Greeting 0_Intro_001,我能提供什麼幫助？þ
Npc1/Low_Friendship_Greeting 0_Response_003_000,吼吼，朋友！
Npc1/Low_Friendship_Greeting 1_Intro_000,噢，美好的一天！
Npc1/Low_Friendship_Greeting 1_Intro_001,怎麼樣了，朋友？
Npc1/Low_Friendship_Greeting 1_Response_003_000,對了，吼吼。
Npc1/Low_Friendship_Greeting 2_Intro_000,你好呀， <PlayerName>。
Npc1/Low_Friendship_Greeting 2_Intro_001,你需要什麼嗎？
Npc1/Low_Friendship_Greeting 2_Response_003_000,<shy>我想以後會再見的！
Npc1/Medium_Friendship_Greeting 0_Intro_000,親，最近怎麼樣了？
Npc1/Medium_Friendship_Greeting 0_Intro_001,怎麼了？
Npc1/Medium_Friendship_Greeting 0_Response_003_000,抓住你了，<PlayerName>。
Npc1/Medium_Friendship_Greeting 1_Intro_000,<PlayerName>！þ
Npc1/Medium_Friendship_Greeting 1_Intro_001,你今天過得怎麼樣？þ
Npc1/Medium_Friendship_Greeting 1_Response_003_000,對了，吼吼。
Npc1/Medium_Friendship_Greeting 2_Intro_000,<yes>很高興見到你，<PlayerName>。þ
Npc1/Medium_Friendship_Greeting 2_Intro_001,<haha>我欠你什麼讓我開心？þ
Npc1/Medium_Friendship_Greeting 2_Response_003_000,<haha>那我就把我的<Dinks>放回我的錢包里！
Npc1/Morning_Greeting 0_Intro_000,啊，清晨。þ
Npc1/Morning_Greeting 0_Intro_001,你像往常一樣起床了，<PlayerName>！
Npc1/Morning_Greeting 0_Response_003_000,<glee>享受你的早晨，朋友！
Npc1/Morning_Greeting 1_Intro_000,幼年的<animalName>得到了<Dink>！
Npc1/Morning_Greeting 1_Intro_001,這就是你起床的原因嗎，<PlayerName>？
Npc1/Morning_Greeting 1_Response_003_000,
Npc1/Morning_Greeting 2_Intro_000,早上好，<PlayerName>！
Npc1/Morning_Greeting 2_Response_003_000,<yes>回頭見。
Npc1/Night_Greeting 0_Intro_000,我度過了愉快的一天！þ
Npc1/Night_Greeting 0_Intro_001,這是一個放鬆的好夜晚！þ
Npc1/Night_Greeting 0_Response_003_000,晚安，<PlayerName>。
Npc1/Night_Greeting 1_Intro_000,夜晚終於來了。
Npc1/Night_Greeting 1_Intro_001,<haha>晚上是<myName>的時間。
Npc1/Night_Greeting 1_Response_003_000,<haha>Welp，我猜該回到<myName>了！
Npc1/Night_Greeting 2_Intro_000,噢，是<PlayerName>！þ
Npc1/Night_Greeting 2_Intro_001,你這麼晚在外面做什麼？þ
Npc1/Night_Greeting 2_Response_003_000,<wave>晚安！
Npc1/Noon_Greeting 0_Intro_000,歡迎來到John的雜貨店！þ
Npc1/Noon_Greeting 0_Intro_001,<haha>噢，等等，我不在工作！þ
Npc1/Noon_Greeting 0_Response_003_000,我會讓你回頭再來，<PlayerName>。
Npc1/Noon_Greeting 1_Intro_000,<no>又是一天<Dink>。
Npc1/Noon_Greeting 1_Intro_001,享受你的一天嗎，<PlayerName>？
Npc1/Noon_Greeting 1_Response_003_000,<yes>明天回到<Dink>為我磨練。
Npc1/Noon_Greeting 2_Intro_000,<yes>這樣的日子是最好的，<PlayerName>。þ
Npc1/Noon_Greeting 2_Intro_001,<haha>我可以出去的日子就是這樣！
Npc1/Noon_Greeting 2_Response_003_000,<sigh>好吧，夥計。
Npc1/Noon_Greeting 2_Response_003_001,祝你有美好的一天，好嗎？
Npc1/NothingToGive_Intro_000,哦，你改變主意了？ 如果您有任何想要出售的東西，請來參觀。
Npc1/NothingToGive_Intro_001,感謝您訪問John的雜貨店。
Npc1/Rain_Greeting 0_Intro_000,嗯，我應該開始賣雨傘了…þ
Npc1/Rain_Greeting 0_Intro_001,噢！嗨<PlayerName>！þ
Npc1/Rain_Greeting 0_Response_003_000,
Npc1/Rain_Greeting 1_Intro_000,<no>今天真是太糟糕了。þ
Npc1/Rain_Greeting 1_Intro_001,你好嗎，<PlayerName>？þ
Npc1/Rain_Greeting 1_Response_003_000,別感冒了，<PlayerName>！
Npc1/Rain_Greeting 2_Intro_000,你認為這場雨會停嗎？
Npc1/Rain_Greeting 2_Response_003_000,<haha>我希望不會！
Npc1/RandomConvo_000_Intro_000,我從<SouthCity>得到了我所有的工具。þ
Npc1/RandomConvo_000_Intro_001,<shy>我知道它們的質量不是很好，而且很容易壞.. þ
Npc1/RandomConvo_000_Intro_002,<haha>但是，它們是您在<IslandName>上可以獲得的最好的工具。þ
Npc1/RandomConvo_001_Intro_000,<proud>我最近一直在做一些盤點，一切看起來都很好。þ
Npc1/RandomConvo_001_Intro_001,<haha>比好更好，這就是John的雜貨店！þ
Npc1/RandomConvo_002_Intro_000,你想知道為什麼我會以如此高的價格從你那裡收購昆蟲嗎？þ
Npc1/RandomConvo_002_Intro_001,在<SouthCity>，這些東西可以成為很棒的寵物。þ
Npc1/RandomConvo_002_Intro_002,<haha>而且人們願意花一大筆錢買一隻不會佔他們一半房子的寵物！þ
Npc1/RandomConvo_003_Intro_000,這個島上的魚對那些回到<SouthCity>的人來說是一種難以置信的享受。þ
Npc1/RandomConvo_003_Intro_001,<haha>我的意思是，在<SouthCity>你能釣到的只有<Blobfish>！
Npc1/RandomConvo_003_Intro_002,<haha>所以吃其他東西總是一種享受！þ
Npc1/RandomConvo_004_Intro_000,<thinking>我最近一直在努力擺脫一些多餘的庫存。 þ
Npc1/RandomConvo_004_Intro_001,<haha>問題是，我已經有了全鎮最優惠的價格，所以我沒有調整價格。 þ
Npc1/RandomConvo_005_Intro_000,<yes>你知道，每件物品對每個人都有價值。你只需要找到合適的人和合適的價格。þ
Npc1/RandomConvo_005_Intro_001,<haha>還好<SouthCity>的人不知道這裡的東西有多普通，所以我可以收費貴一點！þ
Npc1/RandomConvo_006_Intro_000,你今天看起來有點低落，<PlayerName>。þ..
Npc1/RandomConvo_006_Intro_001,你考慮過買東西嗎？
Npc1/RandomConvo_006_Intro_002,<yes>這總是讓我感覺更好。
Npc1/RandomConvo_006_Intro_003,<haha>你，我的意思是買東西。þ
Npc1/RandomConvo_007_Intro_000,我不會交易換任何東西。 þ
Npc1/RandomConvo_007_Intro_001,<thinking>我的意思是…þ
Npc1/RandomConvo_007_Intro_002,<haha>除非這是一個非常好的交易！þ
Npc1/RandomConvo_008_Intro_000,交易的秘訣是低買高賣。þ
Npc1/RandomConvo_008_Intro_001,<thinking>...þ
Npc1/RandomConvo_008_Intro_002,<sigh>我可能應該把這些資訊賣給你…þ
Npc1/RandomConvo_009_Intro_000,我努力獲得了<CommerceLicence>所需的<PermitPoints>。þ
Npc1/RandomConvo_009_Intro_001,<haha>我在<SouthCity>的兄弟非常努力地讓我給他一些我的<PermitPoints>，這樣他也可以得到他的想要的了！þ
Npc1/RandomConvo_010_Intro_000,<sigh>這個月我必須賺足夠的<Dinks>，否則我弟弟會在<SouthCity>遇到麻煩。þ
Npc1/RandomConvo_010_Intro_001,<no>我不會提高價格或類似的東西...þ
Npc1/RandomConvo_010_Intro_002,<haha>一定要繼續賣給我東西，好嗎，<PlayerName>？þ
Npc1/RandomConvo_011_Intro_000,有時我不知道什麼時候該停下來，你懂嗎？þ
Npc1/RandomConvo_011_Intro_001,<haha>這個季節我已經發貨了很多昆蟲，我甚至無法跟蹤它們！þ
Npc1/RandomConvo_012_Intro_000,<PlayerName>，你和我組成了一支偉大的團隊。你跑來跑去，收集稀有貴重的東西，我收購你的東西。
Npc1/RandomConvo_012_Intro_001,<proud>我可能會新增一個非常不同的公平價格。
Npc1/RandomConvo_012_Intro_002,然後我把它們賣給我在<SouthCity>的買家。þ
Npc1/RandomConvo_012_Intro_003,<haha>這樣，每個人都會得到<Dinks>！þ
Npc1/RandomConvo_013_Intro_000,很明顯，你是我最喜歡的顧客，<PlayerName>。þ
Npc1/RandomConvo_013_Intro_001,我會給你一個折扣，但我兄弟現在確實手頭有點緊，他真的需要<Dinks>！þ
Npc1/RandomConvo_013_Intro_002,<haha>但請記住我在想它，好嗎？þ
Npc1/RandomConvo_014_Intro_000,<yes><SouthCity>的人們很樂意吃除了<BlobFish>以外的東西。þ
Npc1/RandomConvo_014_Intro_001,<yes>所以當他們在<IslandName>購買到外來的魚時，他們會為它支付最高的<Dink>！þ
Npc1/RandomConvo_015_Intro_000,þ那是一本精美的<Journal>。þ
Npc1/RandomConvo_015_Intro_001,<yes><npcName> 實際上告訴了我一切。þ
Npc1/RandomConvo_015_Intro_002,<no>我無法想像這對她意味著什麼。þ
Npc1/RandomConvo_015_Intro_003,<haha>她一定非常信任你，<PlayerName>！þ
Npc1/RandomConvo_016_Intro_000,我的兄弟說他花了很多時間在<IslandName>尋找新的物品運送給我們。þ
Npc1/RandomConvo_016_Intro_001,<thinking>他向我保證他已經很努力工作了。þ
Npc1/RandomConvo_016_Intro_002,<yes>我希望他沒事。þ
Npc1/RandomConvo_017_Intro_000,<shy>謝謝你和我做這麼多生意，<PlayerName>。þ
Npc1/RandomConvo_017_Intro_001,<haha>記住，除非他們的 John's Goods，否則他們不好！
Npc1/RandomConvo_018_Intro_000,我的店裡有一個秤，用來稱量你能給我帶來的任何大件物品。 þ
Npc1/RandomConvo_018_Intro_001,<yes>巨大的雞蛋之類的。 þ
Npc1/RandomConvo_018_Intro_002,我會給你一個不錯的價格，所以如果可以的話，值得把它們托進來！þ
Npc1/RandomConvo_019_Intro_000,<thinking>你話雖不多，但你錢包鼓。
Npc1/RandomConvo_019_Intro_001,<yes>我真的很喜歡你，<PlayerName>。
Npc1/RandomConvo_020_Intro_000,<yes>今天很高興見到你，<PlayerName>。þ
Npc1/RandomConvo_020_Intro_001,<no>我們今天不必進行交易。þ
Npc1/RandomConvo_020_Intro_002,<yes>討論這個幾乎和賺取<Dinks>一樣好。þ
Npc1/RandomConvo_021_Intro_000,你知道<PlayerName>是誰嗎？þ
Npc1/RandomConvo_021_Intro_001,<yes>我希望我的兄弟更像你。þ
Npc1/RandomConvo_021_Intro_002,<yes>你工作又努力、又禮貌、還很很善良。 þ
Npc1/RandomConvo_021_Intro_003,<haha>他有時有點像攪屎棍！þ
Npc1/RandomConvo_022_Intro_000,<no>很抱歉，我出售的工具經常壞掉。þ
Npc1/RandomConvo_022_Intro_001,<thinking>我已經讓我在<SouthCity>的兄弟嘗試獲得更高質量的產品。þ
Npc1/RandomConvo_022_Intro_002,<shy>我猜他只是想讓每一個<Dink>都有意義...þ
Npc1/RandomConvo_023_Intro_000,<sigh>我希望我不必每天經營我的商店這麼長時間。þ
